# Messier, NGC, Magnitude, Size [arcmin], Distance [pc], RA [h], Dec [deg], Constellation, Season, Name
# Attention: les données n'ont pas vocation à être très précises!
# D'après http://astropixels.com/messier/messiercat.html
M,NGC,Type,Mag,Size,Distance,RA,Dec,Con,Season,Name
M73,6994,As,9.0,2.8,613.0,20.983,-12.633,Aqr,summer,
M74,628,Sp,9.4,9.8,10700000.0,1.612,15.783,Psc,autumn,
M75,6864,Gc,8.5,6.0,18800.0,20.102,-21.917,Sgr,summer,
M76,650,Pl,10.1,2.3,1040.0,1.707,51.567,Per,autumn,Little Dumbbell Nebula
M77,1068,Sp,8.9,6.5,18400000.0,2.712,0.033,Cet,autumn,
M78,2068,Di,8.3,7.0,491.0,5.778,0.05,Ori,winter,
M79,1904,Gc,7.7,8.7,12900.0,5.408,-24.55,Lep,winter,
M80,6093,Gc,7.3,8.9,10000.0,16.283,-22.983,Sco,summer,
M81,3031,Sp,6.9,15.5,3680000.0,9.927,69.067,UMa,spring,Bode's Galaxy
M82,3034,Ir,8.4,6.5,3680000.0,9.93,69.683,UMa,spring,Cigar Galaxy
M83,5236,Sp,7.6,10.5,4600000.0,13.617,-29.867,Hya,spring,Southern Pinwheel
M84,4374,Ln,9.1,5.0,18400000.0,12.418,12.883,Vir,spring,
M85,4382,Ln,9.1,6.1,18400000.0,12.425,18.2,Com,spring,
M86,4406,Ln,8.9,6.5,18400000.0,12.437,12.95,Vir,spring,
M87,4486,El,8.6,7.0,18400000.0,12.513,12.4,Vir,spring,
M88,4501,Sp,9.6,5.5,18400000.0,12.535,14.433,Com,spring,
M89,4552,El,9.8,4.0,18400000.0,12.595,12.55,Vir,spring,
M90,4569,Sp,9.5,7.0,18400000.0,12.613,13.167,Vir,spring,
M91,4548,Ba,10.2,4.9,18400000.0,12.592,14.5,Com,spring,
M92,6341,Gc,6.4,11.2,8190.0,17.285,43.133,Her,summer,
M93,2447,Oc,6.0,22.0,1100.0,7.743,-23.867,Pup,winter,
M94,4736,Sp,8.2,5.5,4600000.0,12.848,41.133,CVn,spring,
M95,3351,Ba,9.7,3.8,11700000.0,10.733,11.7,Leo,spring,
M96,3368,Sp,9.2,5.0,11700000.0,10.78,11.817,Leo,spring,
M97,3587,Pl,9.9,3.3,798.0,11.247,55.017,UMa,spring,Owl Nebula
M98,4192,Sp,10.1,6.4,18400000.0,12.232,14.917,Com,spring,
M99,4254,Sp,9.9,5.1,18400000.0,12.315,14.433,Com,spring,
M100,4321,Sp,9.3,6.5,18400000.0,12.383,15.833,Com,spring,
M101,5457,Sp,7.9,22.0,8280000.0,14.053,54.35,UMa,spring,Pinwheel Galaxy
M102,5866,Ln,9.9,3.7,12300000.0,15.108,55.767,Dra,summer,
M103,581,Oc,7.4,6.0,2610.0,1.553,60.7,Cas,autumn,
M104,4594,Sp,8.0,6.5,15300000.0,12.667,-11.617,Vir,spring,Sombrero Galaxy
M105,3379,El,9.3,2.0,11700000.0,10.797,12.583,Leo,spring,
M106,4258,Sp,8.4,13.5,7670000.0,12.315,47.317,CVn,spring,
M107,6171,Gc,7.9,10.0,6410.0,16.542,-13.05,Oph,summer,
M108,3556,Sp,10.0,4.5,13800000.0,11.192,55.667,UMa,spring,
M109,3992,Ba,9.8,5.5,16900000.0,11.96,53.383,UMa,spring,
M110,205,El,8.5,13.5,920000.0,0.673,41.683,And,autumn,
